Risk_Categories,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,declarationYear,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,disaster_count
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,69,99069,Natchitoches (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,40
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,71,99071,Orleans (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,38
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,73,99073,Ouachita (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,42
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,75,99075,Plaquemines (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,44
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,77,99077,Pointe Coupee (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,45
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,79,99079,Rapides (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,48
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,81,99081,Red River (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,30
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,83,99083,Richland (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,34
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,85,99085,Sabine (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,32
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,87,99087,St. Bernard (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,47
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,89,99089,St. Charles (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,50
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,91,99091,St. Helena (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,38
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,93,99093,St. James (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,43
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,95,99095,St. John the Baptist (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,45
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,97,99097,St. Landry (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,44
Moderate Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,99,99099,St. Martin (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,53
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,101,99101,St. Mary (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,48
Low Risk,EM-3568-LA,3568,LA,EM,8/27/2021,2021,2021,Hurricane,TROPICAL STORM IDA,0,0,1,0,8/26/2021 12:00:00 AM,9/3/2021 12:00:00 AM,9/12/2024 12:00:00 AM,0,22,103,99103,St. Tammany (Parish),21089,,2021082601,6,,9/12/2024 5:02:26 PM,48
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,91,99091,St. Helena (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,38
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,93,99093,St. James (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,43
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,95,99095,St. John the Baptist (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,45
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,97,99097,St. Landry (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,44
Moderate Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,99,99099,St. Martin (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,53
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,101,99101,St. Mary (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,48
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,103,99103,St. Tammany (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,48
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,105,99105,Tangipahoa (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,47
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,113,99113,Vermilion (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,45
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,117,99117,Washington (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,40
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,121,99121,West Baton Rouge (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,37
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,125,99125,West Feliciana (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,43
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,51,99051,Jefferson (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,49
Moderate Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,57,99057,Lafourche (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,52
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,71,99071,Orleans (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,38
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,75,99075,Plaquemines (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,44
Low Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,87,99087,St. Bernard (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,47
Moderate Risk,DR-4577-LA,4577,LA,DR,1/12/2021,2021,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,22,109,99109,Terrebonne (Parish),21002,3/15/2021 12:00:00 AM,2020102601,6,,8/27/2024 6:22:15 PM,51
High Risk,DR-4576-MS,4576,MS,DR,12/31/2020,2020,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,28,111,99111,Perry (County),20324,3/1/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,232
High Risk,DR-4576-MS,4576,MS,DR,12/31/2020,2020,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,28,153,99153,Wayne (County),20324,3/1/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,300
Low Risk,DR-4576-MS,4576,MS,DR,12/31/2020,2020,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,28,39,99039,George (County),20324,3/1/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,31
High Risk,DR-4576-MS,4576,MS,DR,12/31/2020,2020,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,28,41,99041,Greene (County),20324,3/1/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,297
High Risk,DR-4576-MS,4576,MS,DR,12/31/2020,2020,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,28,45,99045,Hancock (County),20324,3/1/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,185
High Risk,DR-4576-MS,4576,MS,DR,12/31/2020,2020,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,28,47,99047,Harrison (County),20324,3/1/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,183
Severe Risk,DR-4576-MS,4576,MS,DR,12/31/2020,2020,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,28,59,99059,Jackson (County),20324,3/1/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,498
Moderate Risk,DR-4576-MS,4576,MS,DR,12/31/2020,2020,2021,Hurricane,HURRICANE ZETA,1,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,28,131,99131,Stone (County),20324,3/1/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,78
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,3,99003,Alfalfa (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,30
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,11,99011,Blaine (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,67
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,15,99015,Caddo (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,44
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,17,99017,Canadian (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,39
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,27,99027,Cleveland (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,79
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,31,99031,Comanche (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,77
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,39,99039,Custer (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,95
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,43,99043,Dewey (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,49
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,45,99045,Ellis (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,66
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,47,99047,Garfield (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,84
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,51,99051,Grady (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,53
High Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,53,99053,Grant (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,243
Severe Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,65,99065,Jackson (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,498
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,71,99071,Kay (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,36
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,73,99073,Kingfisher (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,35
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,75,99075,Kiowa (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,64
Severe Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,81,99081,Lincoln (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,444
High Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,83,99083,Logan (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,202
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,87,99087,McClain (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,43
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,93,99093,Major (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,33
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,103,99103,Noble (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,62
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,109,99109,Oklahoma (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,48
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,117,99117,Pawnee (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,79
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,119,99119,Payne (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,36
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,125,99125,Pottawatomie (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,61
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,129,99129,Roger Mills (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,31
Moderate Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,137,99137,Stephens (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,73
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,141,99141,Tillman (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,36
Low Risk,DR-4575-OK,4575,OK,DR,12/21/2020,2020,2021,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,10/26/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,40,149,99149,Washita (County),20322,,2020102901,6,,8/27/2024 6:22:15 PM,36
Low Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,1,99001,Atlantic (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,36
Low Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,3,99003,Bergen (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,32
Low Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,5,99005,Burlington (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,31
Low Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,9,99009,Cape May (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,34
High Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,11,99011,Cumberland (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,181
Moderate Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,13,99013,Essex (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,114
Low Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,15,99015,Gloucester (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,45
Low Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,25,99025,Monmouth (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,28
Moderate Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,27,99027,Morris (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,75
Low Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,33,99033,Salem (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,26
Moderate Risk,DR-4574-NJ,4574,NJ,DR,12/11/2020,2020,2021,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,8/4/2020 12:00:00 AM,8/4/2020 12:00:00 AM,,0,34,37,99037,Sussex (County),20303,,2020072601,2,,8/27/2024 6:22:15 PM,64
Low Risk,DR-4573-AL,4573,AL,DR,12/10/2020,2020,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,1,1,99001,Autauga (County),20320,2/8/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,24
High Risk,DR-4573-AL,4573,AL,DR,12/10/2020,2020,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,1,13,99013,Butler (County),20320,2/8/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,167
High Risk,DR-4573-AL,4573,AL,DR,12/10/2020,2020,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,1,15,99015,Calhoun (County),20320,2/8/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,251
High Risk,DR-4573-AL,4573,AL,DR,12/10/2020,2020,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,1,19,99019,Cherokee (County),20320,2/8/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,185
Low Risk,DR-4573-AL,4573,AL,DR,12/10/2020,2020,2021,Hurricane,HURRICANE ZETA,0,0,1,1,10/28/2020 12:00:00 AM,10/29/2020 12:00:00 AM,,0,1,21,99021,Chilton (County),20320,2/8/2021 12:00:00 AM,2020102601,4,,8/27/2024 6:22:15 PM,24
